capacity,threshold,flagged_rate,recall,expected_cost
0.03,0.4142635762691498,0.029529130087789304,0.14457831325301207,357500.0
0.05,0.3173592686653137,0.03910614525139665,0.1807228915662651,343400.0
0.1,0.11153155565261841,0.09976057462090981,0.2650602409638554,315300.0
0.15,0.07209978252649307,0.1484437350359138,0.3614457831325302,280600.0
0.2,0.04944293573498726,0.19872306464485234,0.4457831325301205,251200.0
0.3,0.025918468832969666,0.29848363926576216,0.5662650602409638,212700.0
0.5,0.010238299146294594,0.4868316041500399,0.7349397590361446,164900.0
1.0,0.0013710048515349627,0.9050279329608939,0.9759036144578314,115300.0
