foup_id,from,to,requested_at,completed_at,cycle_time_sec,vehicle_id
0,wafer_fabrication,oxidation,159.20031787519008,211.56395423882645,52.363636363636374,0
0,oxidation,photolithography,421.5729781549556,473.93661451859197,52.363636363636374,0
0,photolithography,etching,702.7479088464163,755.1115452100527,52.363636363636374,0
0,etching,deposition,973.786693363181,1026.1503297268173,52.36363636363626,0
1,wafer_fabrication,oxidation,875.218991052552,1073.0371728707337,197.81818181818164,4
1,oxidation,photolithography,1285.6251323679903,1337.9887687316266,52.36363636363626,1
0,deposition,metallization,1265.8143065767315,1354.541579304004,88.72727272727252,3
2,wafer_fabrication,oxidation,1191.6126579556258,1389.4308397738075,197.81818181818176,0
1,photolithography,etching,1549.3093826828508,1601.673019046487,52.36363636363626,1
2,oxidation,photolithography,1567.2449905161427,1619.608626879779,52.36363636363626,0
3,wafer_fabrication,oxidation,1547.6120275495318,1709.066573004077,161.45454545454527,3
0,metallization,eds,1618.891766149045,1743.982675239954,125.09090909090901,1
2,photolithography,etching,1825.9113796088736,1878.27501597251,52.36363636363626,0
1,etching,deposition,1844.2420250726325,1932.969297799905,88.72727272727252,2
4,wafer_fabrication,oxidation,1831.084345752362,1956.175254843271,125.09090909090901,1
3,oxidation,photolithography,1928.5173997775578,1980.881036141194,52.36363636363626,3
0,eds,packaging,2005.416118796692,2130.507027887601,125.09090909090901,2
2,etching,deposition,2106.5629904265043,2195.2902631537772,88.72727272727298,3
4,oxidation,photolithography,2159.429907075191,2211.7935434388273,52.36363636363649,1
5,wafer_fabrication,oxidation,2102.457802190702,2336.6396203725203,234.18181818181847,0
1,deposition,metallization,2180.278179087187,2341.7327245417323,161.4545454545455,4
3,photolithography,etching,2199.4974562013517,2360.952001655897,161.4545454545455,2
5,oxidation,photolithography,2529.360671219423,2581.7243075830593,52.36363636363649,0
4,photolithography,etching,2549.1678111466786,2601.531447510315,52.36363636363649,1
2,deposition,metallization,2549.6886766296057,2602.052312993242,52.36363636363649,3
6,wafer_fabrication,oxidation,2456.000529443926,2617.4550748984716,161.4545454545455,4
3,etching,deposition,2569.4623773420726,2621.826013705709,52.36363636363649,2
1,metallization,eds,2579.9295950024816,2743.384140457027,163.4545454545455,0
6,oxidation,photolithography,2799.1448807526976,2851.508517116334,52.36363636363649,4
4,etching,deposition,2837.394532876419,2889.7581692400554,52.36363636363649,1
7,wafer_fabrication,oxidation,2766.103294291329,2891.194203382238,125.09090909090901,0
3,deposition,metallization,2866.4692401670436,2918.83287653068,52.36363636363649,2
2,metallization,eds,2956.354220276205,3008.7178566398416,52.36363636363649,2
5,photolithography,etching,2806.589391007128,3040.7712091889466,234.18181818181847,3
1,eds,packaging,3017.7579123916075,3070.121548755244,52.36363636363649,2
7,oxidation,photolithography,3099.7724746436757,3152.136111007312,52.36363636363649,0
4,deposition,metallization,3134.230080215549,3222.957352942822,88.72727272727298,3
8,wafer_fabrication,oxidation,3044.2591425775654,3242.0773243957474,197.81818181818198,1
6,photolithography,etching,3212.18996079911,3264.5535971627464,52.36363636363649,0
3,metallization,eds,3220.705801665983,3382.1603471205285,161.4545454545455,4
2,eds,packaging,3308.383676908378,3397.110949635651,88.72727272727298,3
5,etching,deposition,3236.6280927918333,3434.4462746100153,197.81818181818198,2
7,photolithography,etching,3417.412403834243,3506.139676561516,88.72727272727298,1
8,oxidation,photolithography,3431.574479371214,3556.665388462123,125.09090909090901,3
9,wafer_fabrication,oxidation,3368.306234946255,3602.4880531280733,234.18181818181847,0
6,etching,deposition,3634.4482053382085,3686.811841701845,52.36363636363649,1
3,eds,packaging,3634.843724806664,3687.2073611703004,52.36363636363649,4
4,metallization,eds,3622.69553698158,3711.422809708853,88.72727272727298,2
5,deposition,metallization,3667.7485740102998,3792.8394831012088,125.09090909090901,3
8,photolithography,etching,3769.920449764223,3858.647722491496,88.72727272727298,0
7,etching,deposition,3881.6727369340656,3934.036373297702,52.36363636363649,0
9,oxidation,photolithography,3809.2124997552587,3934.3034088461677,125.09090909090901,4
4,eds,packaging,3974.4483082638844,4026.811944627521,52.36363636363649,2
6,deposition,metallization,3979.228810884281,4031.5924472479173,52.36363636363649,0
5,metallization,eds,4064.999000726352,4117.362637089988,52.36363636363649,0
8,etching,deposition,4110.846650436433,4199.573923163705,88.72727272727207,4
7,deposition,metallization,4204.563066604212,4256.926702967848,52.36363636363603,1
9,photolithography,etching,4118.789682379409,4280.244227833954,161.45454545454504,2
6,metallization,eds,4337.942215607427,4390.305851971063,52.36363636363603,1
5,eds,packaging,4390.2111518114,4442.574788175036,52.36363636363603,0
8,deposition,metallization,4466.372773685567,4518.736410049203,52.36363636363603,4
9,etching,deposition,4496.699174907223,4549.062811270859,52.36363636363603,2
7,metallization,eds,4604.113009428961,4656.476645792597,52.36363636363603,3
6,eds,packaging,4680.722959690746,4733.086596054382,52.36363636363603,1
9,deposition,metallization,4798.198316022007,4850.561952385643,52.36363636363603,2
8,metallization,eds,4853.874490607628,4906.238126971264,52.36363636363603,2
7,eds,packaging,4951.461882759445,5003.825519123081,52.36363636363603,2
9,metallization,eds,5092.957697695847,5145.321334059483,52.36363636363603,4
8,eds,packaging,5239.201332375156,5291.564968738792,52.36363636363603,3
9,eds,packaging,5517.45121474971,5569.814851113346,52.36363636363603,4
