k,threshold,oof_f1,oof_auroc
30,0.24453075230121613,0.30392156814480004,0.7312429203995469
50,0.33079421520233154,0.28187919413738116,0.7341983317886933
100,0.06157507374882698,0.26592797748522495,0.7401606425702811
200,0.17305432260036469,0.2717391299395676,0.7137884872824631
267,0.06691857427358627,0.2534246571273457,0.7038718978478015
