threshold,f1,fp,fn,flagged_rate,expected_cost
0.0,0.12425149700598802,1170,0,1.0,117000
0.00020198167476337403,0.12425149700598802,1170,0,1.0,117000
0.00021465469035319984,0.12434456928838951,1169,0,0.9992019154030327,116900
0.0002836915373336524,0.12443778110944528,1168,0,0.9984038308060654,116800
0.0003185606037732214,0.1245311327831958,1167,0,0.9976057462090981,116700
0.00034922911436297,0.12462462462462462,1166,0,0.9968076616121309,116600
0.0003671160666272044,0.1247182569496619,1165,0,0.9960095770151636,116500
0.0003786476736422628,0.12481203007518797,1164,0,0.9952114924181963,116400
0.0003876594128087163,0.12490594431903687,1163,0,0.994413407821229,116300
0.00039142597233876586,0.125,1162,0,0.9936153232242618,116200
0.0004113736795261502,0.12509419743782968,1161,0,0.9928172386272945,116100
0.00041182056884281337,0.12518853695324283,1160,0,0.9920191540303273,116000
0.00045071885688230395,0.12528301886792453,1159,0,0.99122106943336,115900
0.00045314381713978946,0.12537764350453173,1158,0,0.9904229848363927,115800
0.0004758270806632936,0.12396069538926682,1158,1,0.9896249002394254,120800
0.0004819348978344351,0.12405446293494705,1157,1,0.9888268156424581,120700
0.0004987314459867775,0.12414837244511734,1156,1,0.9880287310454908,120600
0.0005003194091841578,0.12424242424242424,1155,1,0.9872306464485235,120500
0.0005111080827191472,0.1243366186504928,1154,1,0.9864325618515563,120400
0.0005205594352446496,0.1244309559939302,1153,1,0.985634477254589,120300
0.0005412044702097774,0.12300683371298406,1153,2,0.9848363926576217,125300
0.0005458460072986782,0.12310030395136778,1152,2,0.9840383080606544,125200
0.0005483770510181785,0.12319391634980989,1151,2,0.9832402234636871,125100
0.0005528890760615468,0.1232876712328767,1150,2,0.9824421388667198,125000
0.0005830967565998435,0.12338156892612338,1149,2,0.9816440542697525,124900
0.0005873660556972027,0.12347560975609756,1148,2,0.9808459696727854,124800
0.000617581361439079,0.12356979405034325,1147,2,0.9800478850758181,124700
0.0006198584451340139,0.12366412213740458,1146,2,0.9792498004788508,124600
0.0006259483634494245,0.12375859434682965,1145,2,0.9784517158818835,124500
0.0006434899405576289,0.12385321100917432,1144,2,0.9776536312849162,124400
0.0006483630859293044,0.12394797245600613,1143,2,0.9768555466879489,124300
0.0006555216968990862,0.12404287901990811,1142,2,0.9760574620909817,124200
0.0006558413151651621,0.12413793103448276,1141,2,0.9752593774940144,124100
0.0006708157598040998,0.12423312883435583,1140,2,0.9744612928970471,124000
0.0006867605843581259,0.12432847275518036,1139,2,0.9736632083000798,123900
0.000700554228387773,0.12442396313364056,1138,2,0.9728651237031125,123800
0.000706237624399364,0.1245196003074558,1137,2,0.9720670391061452,123700
0.0007079296628944576,0.12461538461538461,1136,2,0.9712689545091779,123600
0.0007089217542670667,0.12471131639722864,1135,2,0.9704708699122107,123500
0.0007121255621314049,0.12480739599383667,1134,2,0.9696727853152434,123400
0.0007182949921116233,0.12490362374710871,1133,2,0.9688747007182761,123300
0.0007185099530033767,0.125,1132,2,0.9680766161213089,123200
0.0007220253464765847,0.1250965250965251,1131,2,0.9672785315243416,123100
0.0007259214180521667,0.125193199381762,1130,2,0.9664804469273743,123000
0.0007299782591871917,0.12529002320185614,1129,2,0.965682362330407,122900
0.0007489167037419975,0.12538699690402477,1128,2,0.9648842777334398,122800
