n_vehicles,completion_rate,avg_cycle_time_sec,avg_vehicle_utilization
2,1.0,233.0169270968946,0.2019
3,1.0,143.55121828981865,0.11886666666666668
4,1.0,111.64187236659119,0.07164999999999999
5,1.0,83.5618626158652,0.04304
6,1.0,72.17466821699753,0.03093333333333333
8,1.0,65.32580214031329,0.0210125
10,1.0,62.21418940021246,0.01599
